"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Wi-Fi Based Indoor Positioning System with Using Deep Neural Network","S. Gïney; A. Erdoğan; M. Aktaş; M. Ergün","Başkent University,Department of Electrical and Electronics Engineering,Ankara,Turkey; Başkent University,Department of Electrical and Electronics Engineering,Ankara,Turkey; Başkent University,Department of Electrical and Electronics Engineering,Ankara,Turkey; Başkent University,Department of Electrical and Electronics Engineering,Ankara,Turkey","2020 43rd International Conference on Telecommunications and Signal Processing (TSP)","11 Aug 2020","2020","","","225","228","Indoor positioning is one of the major challenges for the future large-scale technologies. Nowadays, it has become an attractive research subject due to growing demands on it. Several algorithms and techniques have been developed over the decades. One of the most cost-effective technique is Wi-Fi-based positioning systems. This technique is infrastructure-free and able to use existing wireless access points in public or private areas. These systems aim to classify user's location according to pre-defined set of grids. However, Wi-Fi signals could be affected by interference, blockage of walls and multipath effect which increases error of classification. In this study Deep Neural Networks and conventional machine learning classifiers are utilized to classify 22 squared grids which represent locations. Five primary Wireless Access Points (WAPs) were mounted indoor environment and 177 secondary WAPs are observed by Wi-Fi module. Dataset was created with using five primary and 177 secondary WAPs. The performance of proposed method was tested using Deep Neural Networks and machine learning classifiers. The results show that Deep Neural Network present the best performance as compared to machine learning classifiers. 95.45% accuracy was achieved by using five primary WAPs and 97.27% accuracy was achieved by using five primary and 177 secondary WAPs together for Deep Neural Network.","","978-1-7281-6376-5","10.1109/TSP49548.2020.9163548","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163548","Indoor Positioning;Deep Neural Networks;Classification;Wi-Fi","Machine learning;Biological neural networks;Fingerprint recognition;Wireless fidelity;Machine learning algorithms;Classification algorithms","indoor navigation;indoor radio;learning (artificial intelligence);neural nets;radionavigation;wireless LAN","large-scale technologies;attractive research subject;cost-effective technique;public areas;private areas;Wi-Fi signals;multipath effect;deep neural networks;conventional machine learning classifiers;indoor environment;Wi-Fi module;177 secondary WAP;primary wireless access points;Wi-Fi based indoor positioning system;primary WAP","","2","","12","","11 Aug 2020","","","IEEE","IEEE Conferences"
"Machine Learning for the Estimation of WiFi Field Exposure in Complex Indoor Multi-Source Scenario","G. Tognola; D. Plets; E. Chiaramello; S. Gallucci; M. Bonato; S. Fiocchi; M. Parazzini; L. Martens; W. Joseph; P. Ravazzani","National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy; Ghent University/IMEC,Department of Information technology,Gent,Belgium; National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy; National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy; National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy; National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy; National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy; Ghent University/IMEC,Department of Information technology,Gent,Belgium; Ghent University/IMEC,Department of Information technology,Gent,Belgium; National Research Council, Institute of Electronics, Computer and Telecommunication Engineering (CNR IEIIT),Milan,Italy","2021 XXXIVth General Assembly and Scientific Symposium of the International Union of Radio Science (URSI GASS)","14 Oct 2021","2021","","","1","4","This paper presents the preliminary results on the use of Machine Learning (ML) for the estimation of the electric-field exposure in indoor scenarios with multiple WiFi sources. Differently from similar previous approaches, the present approach aims to design a Neural Network (NN) capable to address complex indoor scenarios that include not only down-link transmission by access points (APs) but also up-link transmission by several clients (e.g., laptop, printers, tablets, and smartphones). The NN was trained and tested on the field generated by multiple WiFi sources (2400 MHz) in an office indoor setup; the ‘target’ exposure field in such a scenario was derived using a deterministic indoor network planner method. The median prediction accuracy of the ‘target’ field exposure by the proposed NN was 0.0 dB (1<sup>st</sup> quartile: −0.7 dB; 3<sup>rd</sup> quartile 0.9 dB), with a root mean square error of 2.1 dB. The proposed approach is fast (the NN training lasts about 30 minutes) and could be useful to assess radio-frequency (RF) exposure in complex indoor scenarios.","2642-4339","978-9-4639-6-8027","10.23919/URSIGASS51995.2021.9560437","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9560437","","Training;Maximum likelihood estimation;Portable computers;Artificial neural networks;Machine learning;Printers;Root mean square","indoor radio;learning (artificial intelligence);mean square error methods;neural nets;telecommunication network planning;wireless LAN","machine learning;WiFi field exposure;complex indoor multisource scenario;electric-field exposure;multiple WiFi sources;neural network;complex indoor scenarios;downlink transmission;uplink transmission;indoor setup;target exposure field;target field exposure;NN training;radio-frequency exposure;indoor network planner method;frequency 2400.0 MHz","","1","","16","","14 Oct 2021","","","IEEE","IEEE Conferences"
"Multi-Detector Deep Neural Network for High Accuracy Wi-Fi Fingerprint Positioning","C. -Y. Chen; A. I. -C. Lai; R. -B. Wu","National Taiwan University,Dept. Electrical Engineering,Taipei,Taiwan; National Taiwan University,Dept. Electrical Engineering,Taipei,Taiwan; National Taiwan University,Dept. Electrical Engineering,Taipei,Taiwan","2021 IEEE Topical Conference on Wireless Sensors and Sensor Networks (WiSNeT)","27 Apr 2021","2021","","","37","39","A Deep Neural Network (DNN)-based positioning algorithm with multi-detector architecture is proposed for high accuracy Wi-Fi fingerprint positioning. Our DNN-based approach fuses the scalability of classifiers and the precision of regressors. Moreover, a pre-processing pipeline of signal readings is added for characteristic grouping and intra-sample normalization to improve the robustness. The algorithm was trained and tested on a robotically surveyed indoor fingerprint dataset including 349 reference points and 191 effective Wi-Fi access points in a 30 m × 12 m area. As a result, our algorithm is capable of positioning with 1.08 m mean distance error in a leave-10%-out test, performing nearly three times as good as the referenced WKNN baseline.","2473-4624","978-1-6654-1581-1","10.1109/WiSNeT51848.2021.9413791","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9413791","machine learning;deep neural network;indoor navigation;indoor positioning;fingerprinting;Internet of Things","Wireless communication;Wireless sensor networks;Scalability;Robot kinematics;Neural networks;Fingerprint recognition;Robustness","fingerprint identification;indoor navigation;indoor radio;neural nets;radionavigation;wireless LAN","DNN-based approach;characteristic grouping;intra-sample normalization;robotically surveyed indoor fingerprint dataset;191 effective Wi-Fi access points;multidetector Deep Neural Network;High Accuracy Wi-Fi Fingerprint Positioning;Deep Neural Network-based;multidetector architecture;high accuracy Wi-Fi fingerprint positioning","","1","","10","","27 Apr 2021","","","IEEE","IEEE Conferences"
"Wi-Fi intrusion detection using weighted-feature selection for neural networks classifier","M. E. Aminanto; H. C. Tanuwidjaja; P. D. Yoo; K. Kim","School of Computing, KAIST, Daejeon, South Korea; School of Computing, KAIST, Daejeon, South Korea; Centre for Electronic Warfare Information and Cyber Defence Academy of United Kingdom; School of Computing, KAIST, Daejeon, South Korea","2017 International Workshop on Big Data and Information Security (IWBIS)","1 Feb 2018","2017","","","99","104","Feature learning plays an important role in improving the learning capability of any machine learner by reducing the data complexity. As one of feature learning methods, feature selection has a crucial role for a machine learning with huge and complex input data. We examine the feature weighting methods in existing machine learners and look at how they could be used for the accurate selection of the important features. In order to validate our idea, we consider Wi-Fi networks since pervasive Internet-of-Things (IoT) devices create huge traffics and vulnerable at the same time. Detecting known and unknown attacks in Wi-Fi networks remains great challenging tasks. We test and validate the feasibility of the selected features using a common neural network. This study demonstrates that the proposed weighted-based machine learning model can outperform other filter-based feature selection models. The experimental results not only demonstrate the effectiveness of the proposed model, achieving 99.72% F<sub>1</sub> score, but also prove that combining a weight-based feature selection method with a light machine-learning classifier which leads to significantly improved performance, compared to the best result reported in the literature.","","978-1-5386-2038-0","10.1109/IWBIS.2017.8275109","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8275109","Intrusion detection system;Wi-Fi network;feature selection;artificial neural network;decision tree","Feature extraction;Wireless fidelity;Training;Task analysis;Decision trees;Neural networks;Support vector machines","computer network security;Internet;learning (artificial intelligence);neural nets;pattern classification;wireless LAN","Wi-Fi intrusion detection;weighted-feature selection;neural networks classifier;learning capability;machine learner;data complexity;feature learning methods;huge input data;complex input data;accurate selection;Wi-Fi networks;Internet-of-Things devices;huge traffics;known attacks;unknown attacks;common neural network;weighted-based machine learning model;feature selection models;feature selection method;light machine-learning classifier","","3","","25","","1 Feb 2018","","","IEEE","IEEE Conferences"
"A Neural Network Based Handover for Multi-RAT Heterogeneous Networks with Learning Agent","M. Rihani; M. Mroue; J. Prevotct; F. Nouvel; Y. Mohanna","IETR-INSA, Rennes, France; Faculty of Engineering III, Lebanese University, Beirut, Lebanon; IETR-INSA, Rennes, France; IETR-INSA, Rennes, France; Faculty of Science I, Lebanese University, Beirut, Lebanon","2018 13th International Symposium on Reconfigurable Communication-centric Systems-on-Chip (ReCoSoC)","30 Aug 2018","2018","","","1","6","The wireless communication networks continue to evolve with multiple radio access technologies (LTE, WIFI, WIMAX ...) included in the same device. Thus, the end-nodes have the flexibility to decide which radio technology to select according to their availability and location. In this case, they must be made intelligent and autonomous enough in order to select automatically the best available wireless technology. Neural Networks represent a promising machine learning technique to be used to make such decisions. The proposed system is implemented on a System on Chip (SoC) integrating both processors and FPGA logic fabrics on the same chip with fast interconnection between them. This allows designing Software/Hardware systems with optimized performance. The adopted SoC offers the partial reconfiguration (PR) feature on the FPGA, which adds more flexibility to these high performance devices. In this paper, we propose a Neural Network based system for heterogeneous networks. The system is based on reinforcement learning that aims to make the system intelligent enough when deciding to perform vertical handover between multiple wireless systems. The switching between the wireless systems standards is implemented using PR technique.","","978-1-5386-7957-9","10.1109/ReCoSoC.2018.8449382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8449382","Heterogeneous Networks;Reconfigurable Architectures;Vertical Handover;Machine Learning;Neural Network;FPCGA;SoC;Partial Reconfiguration","Artificial neural networks;Machine learning;Wireless communication;Machine learning algorithms;Handover;Neurons","field programmable gate arrays;learning (artificial intelligence);Long Term Evolution;neural nets;radio access networks;system-on-chip;WiMax;wireless LAN","multiple radio access technologies;end-nodes;Software/Hardware systems;optimized performance;high performance devices;reinforcement learning;system intelligent;vertical handover;multiple wireless systems;wireless systems standards;Neural Network based handover;multiRAT heterogeneous Networks;learning agent;wireless communication networks;wireless technology;machine learning technique;SoC;partial reconfiguration feature;LTE;WIFI;WIMAX;system on chip;PR technique;FPGA","","1","","12","","30 Aug 2018","","","IEEE","IEEE Conferences"
"Indoor localization at 5GHz using Dynamic machine learning approach (DMLA)","A. Belay; L. Yen; S. Renu; H. -p. Lin; S. -S. Jeng","Department of International Graduate Program in Electrical Engineering and Computer Science, National Taipei University of Technology, Taiwan; Department of Electronic Engineering, National Taipei University of Technology, Taiwan; Department of International Graduate Program in Electrical Engineering and Computer Science, National Taipei University of Technology, Taiwan; Department of Electronic Engineering, National Taipei University of Technology, Taiwan; Department of Electrical Engineering, National Dong Hwa University, Taipei, Taiwan","2017 International Conference on Applied System Innovation (ICASI)","24 Jul 2017","2017","","","1763","1766","In recent years, Wi-Fi based indoor localization using received signal strength (RSS) gets considerable attention. However, RSS based Wi-Fi localization at 2.4GHz is highly susceptible and unstable. We proposed dynamic machine learning approach (DMLA) at 5GHz to effectively localize Wi-Fi users by means of feed-forward neural network algorithm. The simulation result shows that 90% of tested result has less than 0.4m estimation error, and no result shows greater than 0.47m location estimation errors.","","978-1-5090-4897-7","10.1109/ICASI.2017.7988283","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7988283","WiFi based indoor localization;5GHz;dynamic machine learning approach (DMLA);feedforward neural network algorithm","Wireless fidelity;Estimation error;Training;Fingerprint recognition;Conferences;Heuristic algorithms","feedforward neural nets;indoor navigation;learning (artificial intelligence);telecommunication computing;wireless LAN","Wi-Fi based indoor localization;dynamic machine learning approach;Wi-Fi users;feed-forward neural network algorithm;location estimation errors;frequency 5 GHz","","2","1","14","","24 Jul 2017","","","IEEE","IEEE Conferences"
"Recurrent neural networks model for WiFi-based indoor positioning system","Y. Lukito; A. R. Chrismanto","Program Studi Teknik Informatika, Universitas Kristen Duta Wacana, Yogyakarta, Indonesia; Program Studi Teknik Informatika, Universitas Kristen Duta Wacana, Yogyakarta, Indonesia","2017 International Conference on Smart Cities, Automation & Intelligent Computing Systems (ICON-SONICS)","25 Jan 2018","2017","","","121","125","This research focus on the implementation of recurrent neural networks (RNN) model for indoor positioning system (IPS). Unlike global positioning system (GPS), IPS is used in closed structures such as hospitals, museums, shopping centers, office buildings, and warehouses. Positioning system is a key aspect in IPS. We propose, implemented, and evaluated an RNN model for positioning system. We used Wi-Fi-based IPS dataset from our previous research and made some comparison of RNN model performance with other methods. From the model evaluation results, we can conclude that RNN model is suitable for Wi-Fi-based IPS. It also produces generally higher accuracy compared with multi-layer perceptron model (MLP), Naïve Bayes, J48, and SVM. The RNN model training process still needs some tweaking on the parameters used in training.","","978-1-5090-6280-5","10.1109/ICON-SONICS.2017.8267833","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8267833","recurrent neural networks;indoor positioning system;wi-fi","IP networks;Training;Wireless fidelity;Recurrent neural networks;Neurons;Global Positioning System;Buildings","Bayes methods;Global Positioning System;indoor navigation;multilayer perceptrons;recurrent neural nets;support vector machines;wireless LAN","recurrent neural networks model;indoor positioning system;global positioning system;Wi-Fi;IPS dataset;RNN model performance;multilayer perceptron model","","12","","21","","25 Jan 2018","","","IEEE","IEEE Conferences"
"Neural Network for Predicting Error of AP Location Estimation Method Using Crowdsourced Wi-Fi Fingerprints","C. Sung; D. Han","School of Computing, KAIST; School of Computing, KAIST","2019 20th IEEE International Conference on Mobile Data Management (MDM)","8 Aug 2019","2019","","","420","424","RSS values observed from a smartphone are related with distances to each AP. Therefore, AP locations can be estimated when enough number of location-labeled Wi-Fi fingerprints are obtained. Since manually collecting Wi-Fi fingerprints costs human labor, crowdsourcing approach is preferred. Crowdsourced Wi-Fi fingerprints usually need an additional step to tag a location label. The low accuracy of indirectly acquired location labels affects the result of AP location estimation. Therefore, some AP locations need to be discarded if the error of estimated AP location is high. To measure the error, it is necessary to survey the ground truth of AP location. Since surveying true AP locations also costs human labor, an error prediction method is helpful. We propose the neural network that predicts the error of an estimated AP location. The performance of the proposed method was tested on KAIST N1 building, Cheongju airport, and Lotte World mall.","2375-0324","978-1-7281-3363-8","10.1109/MDM.2019.000-9","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8788762","Crowdsourcing;Wi-Fi fingerprints;AP location estimation;neural network;error prediction","Wireless fidelity;Neural networks;Measurement;Estimation;Layout;Buildings;Airports","neural nets;wireless LAN","RSS values;smartphone;error prediction method;location-labeled Wi-Fi fingerprints;crowdsourced wi-fi fingerprints;AP location estimation method;neural network","","","","8","","8 Aug 2019","","","IEEE","IEEE Conferences"
"Analysis and Visualization of Deep Neural Networks in Device-Free Wi-Fi Indoor Localization","S. -J. Liu; R. Y. Chang; F. -T. Chien","Research Center for Information Technology Innovation, Academia Sinica, Taipei, Taiwan; Research Center for Information Technology Innovation, Academia Sinica, Taipei, Taiwan; Institute of Electronics, National Chiao Tung University, Hsinchu, Taiwan","IEEE Access","5 Jun 2019","2019","7","","69379","69392","Device-free Wi-Fi indoor localization has received significant attention as a key enabling technology for many Internet of Things (IoT) applications. Machine learning-based location estimators, such as the deep neural network (DNN), carry proven potential in achieving high-precision localization performance by automatically learning discriminative features from the noisy wireless signal measurements. However, the inner workings of the DNNs are not transparent and not adequately understood, especially in the indoor localization application. In this paper, we provide quantitative and visual explanations for the DNN learning process as well as the critical features that the DNN has learned during the process. Toward this end, we propose to use several visualization techniques, including 1) dimensionality reduction visualization, to project the high-dimensional feature space to the 2D space to facilitate visualization and interpretation, and 2) visual analytics and information visualization, to quantify relative contributions of each feature with the proposed feature manipulation procedures. The results provide insightful views and plausible explanations of the DNN in device-free Wi-Fi indoor localization using the channel state information (CSI) fingerprints.","2169-3536","","10.1109/ACCESS.2019.2918714","Center for mmWave Smart Radar Systems and Technologies under the Featured Areas Research Center Program within the framework of the Higher Education Sprout Project by the Ministry of Education (MOE), Taiwan; Ministry of Science and Technology, Taiwan(grant numbers:MOST 106-2628-E-001-001-MY3,MOST 107-3017-F-009-001,MOST 107-2221-E-009-037-MY2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8721646","Wireless indoor localization;fingerprinting;channel state information (CSI);machine learning;deep neural networks (DNN);Internet of Things (IoT);visual analytics","Wireless fidelity;Wireless communication;Visualization;Wireless sensor networks;Internet of Things;Neural networks;Machine learning","data visualisation;indoor radio;learning (artificial intelligence);neural nets;radionavigation;wireless LAN","deep neural network;Device-free Wi-Fi indoor localization;machine learning-based location estimators;high-precision localization performance;indoor localization application;DNN learning process;device-free Wi-Fi indoor localization","","15","","23","OAPA","24 May 2019","","","IEEE","IEEE Journals"
"Experimental Machine Learning for RSSI fingerprint in Indoor WiFi Localization","P. Koovimol; S. Pattaramalai","King Mongkut’s University of Technology Thonburi,Electronic and Telecommunication Engineering,Bangkok,Thailand; King Mongkut’s University of Technology Thonburi,Electronic and Telecommunication Engineering,Bangkok,Thailand","2021 18th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology (ECTI-CON)","18 Jun 2021","2021","","","1018","1021","This research is an experimental machine learning (ML) based on MATLAB simulations using LSTM, BiLSTM, and GRU. All ML operate with three training options, Adam, RMSProp, and SDGM, to analyze Wi-Fi RSSI fingerprint data. Three wireless routers are setup in the same room under three different types of environment leading to get 6 pairs of matching fingerprint data. First, all combinations of MLs and options are simulated for comparing to find the suitable ML. Then some parameters are adjusted to increase the performance. As the result, the ML GRU with RMSProp has a maximum validation accuracy (VA) at 62.86% with minimum loss accuracy (LA) and validation loss (VL) about 0.0020 and 1.8002, respectively. Finally, the parameters adjusting increases VA about 33% and decreases LA and VL about 1.8605 and 2.0947, respectively.","","978-1-6654-0382-5","10.1109/ECTI-CON51831.2021.9454865","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454865","RSSI;Machine Learning;Wi-Fi Localization","Training;Wireless communication;Location awareness;Performance evaluation;Transmitters;Machine learning;Fingerprint recognition","fingerprint identification;indoor radio;learning (artificial intelligence);wireless LAN","experimental machine learning;indoor WiFi localization;MATLAB simulations;training options;RMSProp;Wi-Fi RSSI fingerprint data;wireless routers;suitable ML;ML GRU;maximum validation accuracy;validation loss","","","","10","","18 Jun 2021","","","IEEE","IEEE Conferences"
